,postId,wordLevel,videoSpeed,subtitleLengthRatio,sectionLength,wordList
46,8699,25.93,12.07,0.6,2,"[four, is, an, icon, of, pop, art, american, the, late, 20th, century, she, a, paragon, feminine, beauty, and, stand-in, for, hopes, dreams, that, warhol, had, his, own, career, completed, in, 1962, upon, her, death, but, instead, choosing, image, from, time, chose, publicity, still, 10, years, prior, he, has, really, presented, marilyn, at, pinnacle, youth, stardom, abiding, love, star, imagery, begins, early, childhood, where, personal, deep, connection, to, those, images, this, understanding, how, function, allows, explore, subject, matter, such, powerful, intense, way, no, longer, just, remnant, filmic, presence, able, connect, us, with, myth, far, deeper, more, timely, than, one, small, window, ...]"
47,8700,23.35,15.65,0.24,3,"[today, going, to, create, an, oil, lamp, using, two, common, kitchen, items, orange, and, olive, the, first, thing, we, need, do, is, a, vessel, hold, that, will, be, burning, off, can, this, very, easily, by, carefully, cutting, into, just, beyond, peel, once, made, careful, incision, across, circumference, of, put, your, finger, under, liberate, delicious, treasure, from, its, orangey, prison, it, aside, for, later, eating, now, gonna, want, part, because, you, wanna, keep, stem, fruit, intact, grab, some, fill, up, about, halfway, make, sure, get, on, wick, itself, suck, tip, own, via, act, capillary, action, but, help, light, little, bit, easier, ...]"
48,6521,27.43,13.72,0.15,3,"[each, year, millions, tune, in, to, watch, the, academy, awards, over, decades, thousands, of, oscar, have, been, handed, out, those, who, work, film, industry, from, actors, directors, and, editors, how, much, do, we, really, know, about, a, rich, history, that, spans, more, than, eight, first, official, ceremony, took, place, during, banquet, held, at, roosevelt, hotel, on, may, 16, 1929, this, was, by, no, means, type, see, today, less, 300, people, were, hand, paid, whopping, five, dollars, for, ticket, dinner, 1927, 1928, total, 15, winners, various, categories, actor, emil, first-ever, best, winner, he, received, performances, two, films, last, command, way, all, ...]"
49,8701,25.37,15.95,0.21,5,"[meet, frane, selak, an, elderly, music, teacher, from, croatia, and, depending, on, how, you, look, at, it, either, the, unluckiest, or, luckiest, person, to, ever, live, his, unbelievable, yet, true, story, begins, a, cold, day, in, 1962, traveling, sarajevo, dubrovnik, fault, with, line, caused, train, jump, track, plunge, into, freezing, river, below, while, other, passengers, were, killed, crash, drowned, sinking, wreckage, suffering, broken, arm, managed, escape, swim, shore, little, did, know, time, but, this, incident, marked, beginning, of, series, bizarre, events, that, would, occur, over, next, 40, years, life, following, year, aboard, small, plane, bound, for, rijeka, disaster, struck, second, ...]"
50,3585,20.22,13.15,0.11,21,"[probably, seen, one, of, these, a, lego, brick, but, have, you, ever, wondered, how, it, all, started, and, why, called, actually, the, name, is, much, older, than, this, plastic, are, curious, let, me, tell, began, many, years, ago, there, was, skilled, hardworking, carpenter, named, ole, kirk, christiansen, respected, with, his, own, company, times, were, hard, so, he, money, had, to, dismiss, last, worker, come, on, in, closed, down, workshop, packed, my, things, thank, i, suppose, better, write, paycheck, take, care, well, that, just, imagine, would, know, understand, at, least, now, get, worse, did, shortly, after, lost, wife, special, person, type, ...]"
51,6460,25.71,13.65,0.58,3,"[if, been, hearing, that, extreme, cold, spells, like, the, one, having, in, united, states, now, disprove, global, warming, believe, it, fact, is, no, single, weather, episode, can, either, prove, or, climate, change, pattern, of, we, observe, geographically, and, over, seasons, described, terms, averages, variations, probabilities, but, a, growing, body, evidence, suggests, kind, being, experienced, by, much, as, speak, expect, to, see, with, increasing, frequency, continues, reason, this, world, experiencing, far, north, arctic, roughly, twice, rapidly, such, means, temperature, difference, between, shrinking, what, drives, called, circumpolar, vortex, which, great, counterclockwise, swirling, mass, air, hovers, declines, polar, weakens, becomes, wavier, there, be, ...]"
52,6781,30.25,15.54,0.56,7,"[san, francisco, is, a, spectacular, fun, city, on, the, central, coast, of, california, about, 350, miles, from, l, bursting, with, youthful, energy, that, will, guarantee, you, have, an, amazing, and, unforgettable, adventure, northern, end, peninsula, invites, to, explore, hip, neighborhoods, elegant, buildings, beautiful, parks, gardens, enjoy, liberal, relaxed, atmosphere, no, things, see, union, square, in, heart, downtown, finest, shopping, region, neighborhood, famous, for, wide, streets, clanging, cable, cars, some, forget, itself, which, great, place, sit, back, relax, do, serious, people-watching, just, few, minutes, north, chinatown, eight, blocks, bustling, activity, selling, all, manner, strange, exotic, goods, one, largest, chinese, communities, u, ...]"
53,5194,27.81,13.27,0.15,6,"[the, story, of, physics, is, for, most, part, a, tale, ever-increasing, confidence, 300, years, was, all, about, observing, and, measuring, finding, out, how, stuff, works, in, early, 1600s, an, italian, got, ball, rolling, by, balls, galileo, also, tried, pendulum, dropped, different-sized, objects, off, leaning, tower, pisa, to, see, what, would, happen, despite, upsetting, pope, his, ideas, apparently, made, god, very, cross, work, became, rock, on, which, modern, founded, later, free, from, angry, popes, isaac, newton, moved, things, abandoning, embracing, apples, why, he, wondered, did, they, always, fall, downwards, not, sideways, or, up, 1687, had, answer, it, force, called, gravity, worked, ...]"
54,5845,26.63,13.28,0.24,9,"[galactic, center, at, 200, 000, kilometers, per, hour, and, circles, it, once, every, 250, million, years, star, sun, orbited, by, eight, planets, trillions, comets, few, dwarf, are, divided, into, four, like, ours, mercury, earth, mars, gas, giants, jupiter, saturn, neptune, smallest, lightest, all, year, shorter, than, day, which, leads, to, enormous, fluctuations, temperature, does, not, have, an, atmosphere, or, moon, one, brightest, objects, far, hottest, planet, with, atmospheric, pressure, 92, times, higher, on, out-of-control, greenhouse, effect, means, never, cools, below, 437, degrees, celsius, also, only, temperatures, moderate, enough, allow, for, surplus, liquid, water, furthermore, so, place, where, life, known, exist, ...]"
55,8859,16.23,15.73,0.29,4,"[line, storms, england, new, peaks, taller, even, wyoming, colorado, utah, sections, interior, california, washington, oregon, ranges, coastal, s, u, over, exist, they, us, for, lucky, big, find, cause, go, getting, efficient, more, times, 20, 10, actually, are, warm, fronts, or, stream, jet, by, like, ways, many, can, now, as, falls, cools, rising, rise, forced, mountain, runs, air, provide, into, them, freeze, enough, cold, temperatures, moisture, lift, things, three, need, produce, to, explains, ramey, joe, expert, service, national, weather, own, their, create, because, truth, telling, also, lying, that, possible, is, well, amazing, his, about, and, resort, nearby, from, up, you, calls, ...]"
56,4457,29.87,12.82,0.13,2,"[grandeur, once-upon-a-time, reflections, sidewalks, without, bridges, lonely, tourism, modern, hubbub, far, private, own, your, through, glide, hop, price, settle, enjoy, you, personality, whose, gondolier, find, right, light, gone, crowds, when, evening, early, till, wait, everywhere, moored, romantics, must, ride, heritage, honoring, kind, one, hand-crafted, sculpture, like, is, oarlock, stylized, forcula, walnut, each, balanced, properly, true, planed, carefully, oars, tools, traditional, working, 400, for, provides, he, as, observe, welcomed, visitors, workshop, an, nearby, venice, corner, little, delightful, feel, alpine, refreshing, maintain, they, why, mountains, traditionally, wood, good, be, needed, who, workmen, shop, this, canals, back, quiet, survives, gondola, art, line, straight, ...]"
57,8854,26.74,9.14,0.21,3,"[exactly, pen, quill, stroke, control, together, working, arm, movement, into, translate, edges, shaped, their, read, followers, three, move, as, stack, great, core, at, own, works, him, drives, machinery, energy, source, his, all, little, true, really, build, miniaturization, technologies, use, did, what, himself, body, completely, fit, miniaturized, refined, been, has, components, crafted, these, every, that, parts, 000, 6, almost, are, inside, masterpiece, designed, when, 1770s, early, old, years, 50, about, passions, automate, reason, mechanize, to, think, i, aim, and, greatest, jaquet-droz, pierre, switzerland, built, was, he, writer, century, 18th, magnificent, machines, favorite, my, machine, 240-year-old, by, made, writing, piece, card, this, ...]"
58,8860,23.49,14.91,0.21,2,"[ever, retired, 650, also, are, there, phones, their, replace, or, upgrade, since, phone, cell, a, use, people, million, 205, states, united, the, in, moment, this, at, manufactured, newly, needing, without, circulation, into, back, sent, then, rebuilt, these, complete, create, from, usable, with, together, those, combining, otherwise-broken, parts, working, taking, way, another, manufacture, for, need, metals, all, reclaim, recycle, you, if, other, each, top, on, stacked, cars, 35, equivalent, waste, tons, 79, generates, ounce, clean, one, collecting, mining, strip, of, method, by, reusable, still, but, less, copper, boards, circuit, is, material, most, platinum, silver, gold, inside, valuable, have, ones, new, make, ...]"
59,8919,25.49,13.77,0.22,3,"[expect, work, things, making, by, phone, changes, fundamentally, user, sense, personal, give, android, google, internet, experience, for, new, announced, htc, easy-to-use, intuitive, gave, gestures, research, based, fingers, your, way, changed, mobile, windows, introduced, early, 3g, potential, saw, keyboard, or, touchscreen, a, either, use, you, let, that, ones, including, versatile, make, set, then, existed, even, smartphone, term, before, building, time, touch-experience, popular, most, one, produced, innovation, on, limits, no, setting, partners, our, to, out, reaching, devices, handheld, and, touch, first, many, designing, were, beginning, from, world, around, people, hands, into, computing, power, bringing, of, goal, the, with, started, we, connected, in, ...]"
60,8917,21.79,17.3,0.54,3,"[pieces, bits, into, mouth, chewed, first, is, well, hours, few, a, in, that, all, digest, possibly, he, could, how, thinking, to, me, got, it, and, head, his, of, size, than, bigger, steak, entire, an, swallow, man, small, this, saw, i, day, other, the, just, professor, hey, enzymes, precious, produce, means, deactivated, will, storage, extra, longer, function, brain, convert, also, if, happen, converts, important, ability, shape, right, have, because, fat, fit, cannot, fats, lipase, case, substrate, type, bind, specific, two, use, later, muscles, liver, away, stored, glycogen, molecule, giant, combine, much, when, energy, as, used, body, absorbed, then, glucose, sugars, simple, ...]"
61,8918,22.1,12.18,0.11,6,"[thousands, needed, amount, new, finish, after, immediately, altered, recycled, three, must, our, happening, scenarios, freakish, such, prevent, damaging, end, burning, stop, words, precious, produce, means, deactivated, will, storage, extra, longer, brain, function, convert, also, if, happen, converts, important, ability, shape, right, have, because, fat, fit, cannot, fats, lipase, case, substrate, type, bind, specific, two, use, later, muscles, liver, away, stored, glycogen, molecule, giant, combine, much, when, energy, as, used, body, absorbed, then, glucose, sugars, simple, digested, eat, bread, instance, products, form, together, combined, or, apart, broken, either, reaction, undergo, made, captured, on, act, where, groove, site, active, has, each, one, ...]"
62,9091,34.05,14.73,0.39,4,"[recycling, is, anything, but, old-school, in, fact, these, days, the, cutting-edge, single-stream, process, allows, you, to, put, all, your, items, into, one, cart, be, recycled, saving, communities, money, and, diverting, materials, away, from, what, happens, after, leave, them, out, on, curb, follow, this, truck, mrf, find, more, material, recovery, facility, or, for, short, where, unsorted, are, mechanically, separated, first, loaded, onto, a, conveyor, belt, carried, v-screen, separator, that, uses, series, of, fast-moving, remove, paper, cardboard, other, once, taken, mill, de-inker, literally, lifts, type, off, page, it, then, reduced, pulp, slurry, high-speed, washing, machine, removes, any, remaining, debris, now, clean, pressed, ...]"
63,9092,21.43,14.11,0.24,2,"[this, is, one, way, to, get, your, 12, 600-calorie, gummy-bear, fix, another, introducing, the, largest, gummy, bear, seriously, happens, be, five, pounds, of, favorite, flavor, mammoth, beast, and, a, half, inches, wide, three, deep, nine, tall, according, our, math, about, as, high, full-grown, man, from, 30, feet, away, like, all, biggest, most, awesome, things, made, in, usa, at, vat19, com, these, glorious, waiting, with, name, on, it, so, you, could, either, hog, every, mouth-watering, morsel, for, yourself, or, give, someone, greatest, flipping, gift, ever, oh, sweater, will, good, when, cold, outside, should, noted, that, common, side, effect, test, groups, involved, ...]"
64,8717,30.47,14.19,0.23,5,"[on, this, holiday, we, give, thanks, and, celebrate, the, harvest, welcome, to, watchmojo, com, today, be, learning, more, about, thanksgiving, have, so, much, thankful, for, day, is, a, observed, annually, fourth, thursday, of, november, in, united, states, while, other, such, celebratory, meals, may, been, held, earlier, 1621, feast, plymouth, most, widely, accepted, as, first, celebration, after, arriving, from, england, via, mayflower, these, settlers, were, taught, by, local, native, americans, pilgrims, then, celebrated, their, success, with, natives, holding, three-day, inspired, religious, traditions, became, popular, across, country, similar, celebrations, north, american, colonies, 1863, proclamation, president, abraham, lincoln, saw, become, an, annual, event, ...]"
65,9097,19.08,13.06,0.38,2,"[the, brain, is, most, fascinating, part, of, human, body, not, much, to, look, at, it, resembles, a, spongy, mass, tissue, feels, like, tofu, and, weighs, roughly, four, tubs, butter, our, actually, made, up, mostly, water, about, 10, percent, fats, while, only, makes, approximately, two, entire, weight, uses, massive, 20, energy, basic, building, blocks, are, known, as, we, have, around, 100, billion, these, each, with, between, 1, 000, connections, other, creating, neural, or, roads, within, there, literally, trillions, similar, electrical, power, grid, information, passed, along, through, series, chemical, messages, impulses, all, this, activity, takes, place, generates, 25, watts, enough, light, bulb, ...]"
66,9578,19.91,13.72,0.38,5,"[my, name, is, andrea, thorp, and, i, work, at, the, loma, linda, hospital, in, pediatric, emergency, room, think, it, came, down, to, wanting, a, career, that, challenging, one, would, continuously, press, me, learn, more, things, new, thing, out, there, how, can, apply, long, process, so, after, high, school, you, have, do, four-year, degree, then, four, years, of, medical, now, eight, still, get, job, residency, end, become, board-certified, physician, your, specialty, people, tend, go, into, medicine, be, ones, was, always, easy, for, them, especially, lumped, with, hundred, different, who, has, been, know, cream, crop, speak, no, longer, top, tell, are, going, ...]"
67,9582,32.94,14.85,0.32,4,"[at, face, value, an, internet, site, that, allows, friends, and, colleagues, to, stay, in, touch, but, business, terms, facebook, is, so, much, more, the, social, networking, has, than, 900, million, users, last, year, it, generated, revenue, of, 3, 7, billion, dollars, most, comes, from, advertising, however, its, online, slowed, recently, which, worries, some, investors, while, company, struggling, make, money, fastest-growing, sector, those, who, access, mobile, devices, general, motors, announced, planning, stop, on, because, see, for, yet, still, proved, irresistible, many, was, founded, a, harvard, dorm, room, 2004, by, mark, zuckerberg, computer-programming, prodigy, like, there, were, real, people, end, connection, before, ...]"
68,9584,21.43,15.7,0.25,4,"[this, is, a, house, like, lot, of, houses, but, with, one, big, difference, your, where, you, hang, hat, open, mail, host, most, important, the, place, have, everything, and, everyone, that, means, protecting, what, matters, insurance, about, if, homeowner, know, how, works, do, it, to, get, type, coverage, best, fits, needs, budget, insuring, home, policies, cover, three, basic, areas, structure, belongings, liability, its, roof, walls, systems, garage, or, other, freestanding, building, on, property, covered, against, damage, due, disaster, such, as, fire, hail, wind, falling, objects, burst, pipes, events, things, be, aware, some, types, water, are, will, need, separate, policy, for, flooding, ...]"
69,9580,32.98,15.2,0.42,3,"[like, many, delicious, food, creations, sushi, was, discovered, somewhat, accidentally, but, over, time, it, has, evolved, into, a, visual, and, palatable, art, began, in, southeast, asia, with, simple, method, to, preserve, fish, raw, stored, rice, under, heavy, stones, for, months, would, emerge, sour, pickled, flavor, the, then, discarded, eventually, tough, economic, times, heightened, value, demand, so, no, longer, wasted, after, also, cured, shorter, durations, of, still, little, when, consumed, several, centuries, later, around, 1600, that, soaking, vinegar, another, way, attain, yet, took, far, less, before, we, go, any, further, distinction, must, be, made, refers, sashimi, contrary, some, does, not, always, ...]"
70,9626,17.87,13.47,0.2,5,"[i, know, been, coached, on, the, basics, of, an, interview, your, resume, dress, and, maybe, even, some, answers, to, basic, questions, but, what, if, asked, over, lunch, critical, that, you, understand, three, essential, skills, good, table, manners, proper, use, a, napkin, understanding, how, setting, works, cutlery, see, our, first-time, job, seeker, will, do, well, hello, john, can, tell, me, little, bit, about, yourself, graduated, from, nu, this, young, man, is, first, skill, whenever, sit, down, thing, place, lap, for, any, reason, leave, forks, when, return, returns, now, simply, pat, my, lips, clean, with, wipe, whole, face, off, like, washcloth, experience, ...]"
71,9625,32.26,17.22,0.44,6,"[hi, beth, from, and, today, here, to, recommend, some, classic, books, you, a, quote, mark, twain, that, goes, something, like, book, is, which, everybody, praises, but, nobody, reads, i, think, easy, feel, way, intimidating, if, about, all, 1, 200, pages, of, war, peace, give, up, before, even, begun, the, classics, are, for, reason, any, serious, lover, will, probably, want, explore, at, least, them, so, made, list, 10, should, actually, read, take, it, with, grain, salt, this, just, our, preference, left, off, countless, good, place, start, first, published, in, 1851, story, single-minded, pursuit, colossal, white, sperm, whale, has, one, most, famous, ...]"
72,9751,26.06,16.04,0.28,8,"[we, wanna, switch, gears, now, and, talk, about, a, crippling, medical, condition, no, cure, only, limited, treatment, for, dementia, that, primarily, affects, the, elderly, when, someone, is, diagnosed, with, many, families, choose, to, put, them, in, nursing, home, round-the-clock, care, but, cnn, chief, correspondent, dr, sanjay, gupta, found, place, unlike, any, other, anywhere, world, friday, on, untold, stories, he, takes, you, inside, village, preview, well, if, walk, here, this, will, look, like, just, grocery, store, i, point, out, few, things, are, different, do, see, same, products, juices, can, buy, anything, want, cleaning, notice, pretty, quickly, prices, as, money, has, exchanged, ...]"
73,9769,21.77,14.52,0.03,7,"[walking, down, the, hall, to, your, chemistry, class, when, you, see, him, immediately, feel, like, been, shot, up, in, elevator, and, left, stomach, two, floors, below, stay, calm, tell, yourself, get, heartbeat, under, control, maybe, ask, if, he, wants, a, movie, not, too, painful, is, it, all, right, almost, approaching, now, flash, that, cool, confident, unflustered, smile, okay, just, walked, smack-dab, into, locker, door, ouch, hey, welcome, wellcast, do, wanna, someone, out, but, afraid, of, accidentally, injuring, instead, this, week, gonna, talk, about, stupid, awkward, awful, awesome, feeling, liking, make, something, give, four, tips, for, asking, or, her, on, date, ...]"
74,9770,12.26,12.95,0.0,2,"[and, now, time, for, challenge, of, the, sphinx, step, into, ring, oliver, about, to, show, you, a, worth, garbage, they, just, threw, it, away, can, i, get, another, got, one, minute, 60, seconds, 120, make, this, pile, smaller, starting, glass, plastic, stuff, be, recycled, right, paper, that, too, correct, hey, mosquito, man, love, guy, all, food, gunk, could, maybe, put, outside, like, composted, are, cooking, these, clothes, toys, had, somebody, would, want, them, did, left, bag, jeez, what, bozo, chuck, anyway, no, way, is, my, our, lesson, day, less, chucking, more, recycling, makes, not, so, gonna, try, throw, how]"
75,9771,13.76,12.42,0.28,3,"[going, to, show, you, how, produce, a, coin, from, two, cards, and, happen, or, what, see, is, that, are, shown, then, out, of, the, middle, those, will, appear, looks, like, this, card, number, one, seven, hearts, second, six, diamonds, place, on, bottom, give, just, little, flick, maybe, can, say, magic, words, iggy, wiggy, piggy, poof, pops, money, secretly, very, start, have, underneath, now, take, off, top, bring, it, up, audience, in, case, happens, be, placing, at, same, time, steal, as, by, bringing, showing, happening, here, being, placed, showed, squeeze, make, popping, sound, could, magical, phrase, i, always, prefer, release, your, ...]"
76,9850,25.08,14.71,0.45,6,"[the, history, of, new, york, city, is, rife, with, disaster, death, murder, mayhem, you, have, four, centuries, that, accumulated, weight, life, and, all, psychic, upheaval, concentrated, in, a, very, small, space, washington, square, park, notorious, hidden, graveyard, lot, people, already, know, this, but, somewhere, between, 15, 000, 20, buried, under, site, on, eastern, half, late, 18th, century, almost, every, summer, frightening, deadly, regularity, these, epidemics, would, be, visited, particularly, yellow, fever, also, cholera, so, approximately, 1797, 1823, had, mass, grave, field, layers, enshrouded, corpses, piled, what, now, just, thin, layer, turf, grass, separating, from, those, bodies, which, something, to, think, ...]"
77,9851,13.33,13.23,0.25,3,"[hi, faye, de, muyshondt, here, with, you, to, talk, about, how, make, new, friends, so, throughout, our, lives, going, be, making, meeting, people, introducing, ourselves, others, and, what, i, always, say, the, most, basic, part, of, is, really, conversation, on, any, given, day, should, have, things, there, are, questions, that, can, ask, anyone, for, example, your, another, brings, wherever, person, question, ready, all, conversations, feel, as, them, chat, asking, but, also, responding, respond, important, sure, not, using, ill-fated, one-word, response, today, if, someone, were, me, am, instead, saying, fine, doing, well, thanks, my, started, out, walking, dog, in, central, park, ...]"
78,9918,28.65,12.28,0.22,3,"[the, clock, ticking, from, moment, ebola, virus, enters, body, disease, not, easy, to, contract, only, carried, in, bodily, fluids, blood, saliva, sweat, tears, semen, vomit, urine, or, and, it, can, enter, through, direct, contact, with, cuts, on, skin, eyes, nose, mouth, throat, reproductive, organs, people, also, get, infected, when, eating, meat, coming, contaminated, animals, survive, several, hours, a, dried, state, if, fluid, remains, wet, at, room, temperature, for, days, outside, most, of, patients, deceased, but, is, someone, actually, contagious, short, answer, they, start, show, symptoms, those, though, take, two, 21, kick, other, words, person, could, travel, interact, others, weeks, without, ...]"
79,9916,30.1,15.23,0.22,3,"[it, was, in, a, european, cafe, like, this, one, that, howard, schultz, had, visionary, revelation, america, lacking, neighborhood, spot, to, grab, good, cup, of, coffee, 1982, working, for, as, the, director, marketing, and, store, nothing, brand, we, know, today, founded, 1971, small, bean, retailer, seattle, specializing, unique, blends, from, around, globe, known, its, knowledgeable, staff, which, sold, excellent, perfectly, roasted, beans, but, if, you, walked, into, have, been, able, buy, could, stayed, way, not, taken, trip, milan, he, amazed, by, pocket-sized, cafes, existed, on, virtually, every, street, corner, seemed, central, component, everyday, italian, life, people, were, connecting, over, their, cups, ...]"
80,10022,24.54,13.79,0.27,2,"[serwa, is, a, farmer, in, africa, every, day, she, works, long, hours, tending, small, plot, of, land, hopes, to, grow, enough, crops, keep, her, children, from, going, hungry, and, sell, left, for, fair, price, but, fragile, lifeline, crop, disease, unstable, markets, or, few, weeks, without, rain, could, destroy, everything, has, not, alone, nearly, one, billion, people, go, bed, millions, farmers, throughout, the, world, most, whom, are, women, struggling, survive, feed, their, families, because, they, lack, access, quality, seeds, innovative, tools, that, can, maximize, harvests, these, problems, be, solved, interventions, like, better, irrigation, systems, improved, fertilizers, disease-, drought-resistant, produce, larger, alliances, ...]"
81,10073,29.04,12.6,0.22,5,"[please, welcome, newly, appointed, united, nations, messenger, of, peace, mr, leonardo, dicaprio, thank, you, secretary, general, your, ladies, and, gentleman, distinguished, guests, honored, to, be, here, today, i, stand, before, not, as, an, expert, but, a, concerned, citizen, one, the, 400, 000, people, who, marched, in, streets, new, york, on, sunday, billions, others, around, world, want, solve, our, climate, crisis, actor, pretend, for, living, play, characters, often, solving, problems, believe, that, mankind, has, looked, at, change, same, way, if, it, were, fiction, pretending, real, would, somehow, make, go, away, think, we, all, know, better, than, now, every, week, seeing, undeniable, ...]"
82,10019,15.79,15.02,0.29,3,"[the, supermarket, is, a, very, treacherous, environment, if, trying, to, eat, well, or, sophisticated, landscape, been, designed, extract, as, many, dollars, from, your, wallet, possible, everything, music, number, of, beats, in, you, hear, location, products, on, shelves, layout, whole, thing, get, buy, much, so, for, example, milk, will, always, be, maximum, paces, door, and, reason, that, most, people, wanna, go, quart, they, want, them, pass, other, things, way, path, have, temptations, along, it, height, items, eye, level, profitable, highest, markup, lower-profit, might, better, are, at, bottom, see, highly, processed, cereals, up, here, maybe, oatmeal, less, down, general, laid, out, foods, ...]"
83,10020,20.89,14.47,0.05,3,"[hoping, to, become, a, video, game, tester, ben, arrives, at, loop, headquarters, and, is, ushered, an, empty, room, hello, uh, boob, take, seat, are, you, ready, for, your, test, my, what, skill, as, comfortable, well, more, anxious, than, but, always, so, i, guess, get, started, which, better, fresh-squeezed, orange, juice, or, prepackaged, mean, better-tasting, define, it, go, with, why, because, fresh, good, if, believe, mom, tv, ads, about, the, waste, creates, all, those, peels, oh, then, there, any, just, carton, sure, not, really, no, observe, please, profile, oranges, harvested, in, florida, shipped, plant, they, squeezed, pasteurized, filtered, trucked, lot, of, ...]"
84,10021,26.29,13.6,0.32,4,"[2000, to, 2009, it, was, the, warmest, decade, on, modern, record, how, do, we, know, what, nasa, has, satellite, missions, monitoring, climate, up, there, right, now, gathering, data, analyzing, trends, and, sharing, both, raw, results, with, everyone, for, free, why, are, temperatures, rising, changes, same, everywhere, humans, contributing, change, already, occurring, today, find, out, yourself, our, warming, world, at, gov, scientists, goddard, institute, of, space, studies, or, giss, just, released, a, new, analysis, global, average, showing, that, tied, as, second-warmest, year, ever, recorded, looking, southern, hemisphere, even, broke, in, this, half, fact, virtually, five, other, recent, years, its, position, 1998, ...]"
85,10026,18.31,14.54,0.16,3,"[the, pros, and, cons, of, saving, investing, imagine, like, a, race, between, tortoise, hare, both, are, chasing, an, investment, goal, that, is, always, moving, because, inflation, every, time, you, add, to, your, savings, takes, another, step, towards, will, also, earn, interest, on, but, if, rely, only, it, be, difficult, catch, up, often, move, at, around, same, rate, save, enough, eventually, get, there, slow, steady, safe, know, exactly, where, in, short, predictable, by, money, even, without, adding, more, he, might, racing, however, not, most, way, then, for, while, could, run, away, from, end, further, than, therefore, backing, carries, some, risk, as, ...]"
86,10023,16.96,13.07,0.19,6,"[one, of, the, advantages, owning, a, small, business, in, particular, comparison, with, large, businesses, is, that, you, are, close, to, your, customer, have, ability, get, know, what, it, they, really, want, and, cater, experience, but, many, entrepreneurs, fail, take, advantage, this, great, opportunity, so, video, i, walk, through, worksheet, can, download, from, exercise, files, course, start, yourself, going, look, at, go, every, part, imagine, visiting, for, first, time, touchpoint, well, place, where, connect, make, contact, aspect, like, talk, people, on, phones, exterior, interior, how, website, or, social, media, presence, printed, materials, products, services, interacting, as, notes, things, maybe, would, improve, ...]"
87,10074,17.86,16.42,0.11,5,"[hi, my, and, from, jobaroo, today, be, speaking, to, you, about, working, holiday, visa, dos, so, at, first, off, start, with, the, do, prepared, this, means, coming, australia, your, cv, or, resume, ready, notice, when, not, just, how, quickly, funds, will, disappear, really, want, wasting, time, on, is, sort, of, thing, can, get, done, before, arrive, in, oz, emphasize, key, skills, experience, competition, for, jobs, amongst, pretty, tough, interest, make, yourself, stand, out, paper, now, pay, attention, seasons, year, that, affect, where, look, a, job, as, well, types, are, available, proactive, whether, dropping, local, cafe, waitressing, ringing, farmer, direct, harvest, ...]"
88,10177,36.8,14.96,0.21,7,"[finnish, people, place, great, value, on, education, equal, opportunities, professional, teachers, and, a, student-centered, approach, lie, at, the, heart, of, learning, research, shows, that, population, believe, comprehensive, school, system, is, one, most, noteworthy, factors, in, history, creates, foundation, for, well-being, key, it, offers, everybody, irrespective, domicile, sex, socioeconomic, status, or, linguistic, cultural, background, network, regionally, extensive, basic, completely, free, charge, including, instruction, materials, meals, health, care, dental, commuting, special, needs, remedial, teaching, gap, between, top-, bottom-performing, schools, finland, narrowest, world, gives, each, student, flexibility, binding, decisions, are, not, expected, to, be, made, an, early, stage, instead, road, all, way, tertiary, ...]"
89,10201,20.85,13.65,0.23,12,"[this, is, kind, of, our, hall, family, photos, me, the, last, year, preschool, being, presented, as, a, boy, and, first, kindergarten, when, finally, able, to, look, like, girl, i, was, never, always, in, my, heart, although, male, public, inside, feminine, it, okay, be, that, because, just, who, change, born, way, am, jazz, for, long, can, remember, favorite, color, has, been, pink, second, silver, third, green, best, friends, are, samantha, casey, we, high, heels, princess, gowns, or, but, not, exactly, on, surface, seems, your, typical, teenager, she, five, years, old, one, youngest, people, ever, diagnosed, with, gender, dysphoria, now, 14, joined, ...]"
90,10589,23.38,13.37,0.25,9,"[mahjong, is, a, tile, game, of, strategy, skill, and, luck, sometimes, called, chinese, poker, estimated, that, across, asia, europe, north, america, players, may, outnumber, by, 10, to, one, the, finest, tiles, are, crafted, using, ancient, methods, traditional, materials, hands, master, so, how, do, they, it, qiqiao, village, in, eastern, china, still, make, here, way, debate, rages, about, origins, but, most, evidence, points, being, invented, area, around, shanghai, second, half, 19th, century, history, rich, mystery, incidence, certain, for, over, 100, years, have, been, made, from, bones, an, ox, bone, can, be, processed, polished, produce, glossy, finish, almost, indistinguishable, now-banned, ivory, also, ...]"
91,10249,21.64,13.15,0.21,10,"[how, do, you, get, through, your, day, make, it, from, one, place, to, another, task, the, next, every, step, of, way, in, life, there, have, been, people, that, said, i, things, ride, a, bicycle, live, on, my, own, good, job, and, support, myself, or, go, college, graduate, listen, too, much, when, they, tell, me, something, not, whole, lot, gonna, stand, were, first, started, at, hendrick, had, no, idea, what, could, was, going, some, guys, friends, with, now, told, heard, coming, got, their, biggest, thing, well, is, he, most, winning, organization, nascar, jimmie, johnson, jeff, gordon, dale, earnhardt, jr, for, any, ...]"
